ra,dec,z,Llim,Mstar,vstar,dist,Lx
127.45012,4.2989761,0.1169081,1.2302227394336808e+41,130239704612.64383,234.9363,827.8868885519637,1.2302227394336808e+41
127.45032,3.4097923,0.057806,2.7771840614713416e+40,31776728329.54312,104.7515,593.5825644718411,2.7771840614713416e+40
127.45378,4.0163506,0.08505067,6.242326912981786e+40,7995278259.140111,6.902977,799.3050426627851,6.242326912981786e+40
127.4713,2.7935286,0.1141234,1.168091740479425e+41,30928572299.52287,31.74301,170.96213250587718,1.168091740479425e+41
127.47266,1.0027504,0.1010692,9.006086621425678e+40,151406532176.6472,157.4429,75.45218914707146,9.006086621425678e+40
127.47462,2.0569408,0.073183,4.547537550573321e+40,72895838779.08588,135.2692,261.0221148715559,4.547537550573321e+40
127.47951,4.4383445,0.1160765,1.211478881040112e+41,140456927345.69354,119.4895,739.2392966161183,1.211478881040112e+41
127.47999,0.83051835,0.08310334,5.94404172846694e+40,81314665073.47206,224.5109,73.0168548497555,5.94404172846694e+40
127.48687,4.0235483,0.08481737,6.206167467039029e+40,86124496105.2254,221.2374,743.9348905434222,6.206167467039029e+40
127.49622,5.6440939,0.07442128,4.7107476891112295e+40,44736055376.94592,92.21079,1897.1864802648352,4.7107476891112295e+40
127.50637,5.8257832,0.000220977,3.729177019367107e+35,12544.28023580488,0.0,1982.6414338508414,3.729177019367107e+35
127.50799,4.5316328,0.06226511,3.2423938338841623e+40,440734323.73487264,196.1572,842.0852100618521,3.2423938338841623e+40
127.52413,3.8598813,0.08686806,6.527968400989357e+40,28265991548.452488,143.4751,295.02010724881706,6.527968400989357e+40
127.52485,5.5798154,0.1239797,1.3961990563548395e+41,31347534460.94712,50.57449,1701.424834255985,1.3961990563548395e+41
127.53221,5.0892779,0.1156935,1.2029006255805395e+41,177308621279.2945,143.296,1099.1089382958457,1.2029006255805395e+41
127.54094,1.7674249,0.141133,1.8489553011642605e+41,129027800759.93808,230.6611,125.82923928641858,1.8489553011642605e+41
127.54522,3.4257432,0.105529,9.876332633830364e+40,15102000473.41161,75.40955,283.1034579519496,9.876332633830364e+40
127.57452,3.908286,0.06539752,3.592503603425527e+40,65278757525.0735,172.2466,223.78533226193176,3.592503603425527e+40
127.57639,3.2037272,0.06659755,3.731781064861592e+40,42829415539.90344,161.7666,140.60646377204003,3.731781064861592e+40
127.57915,3.9762196,0.1037095,9.515887369867896e+40,146968107466.31424,113.2137,448.19238961201444,9.515887369867896e+40
127.57916,4.5184373,0.06176319,3.1880908473556103e+40,8797740165.438944,70.89839,647.4770667094249,3.1880908473556103e+40
127.59116,5.2623248,0.06332924,3.359159973599245e+40,8696925395.211042,57.73161,1073.3127611671348,3.359159973599245e+40
127.59292,3.7769421,0.07007191,4.1512558017506086e+40,17176285387.898842,74.28883,283.56743590993125,4.1512558017506086e+40
127.59619,3.8430516,0.06896649,4.0151649706585897e+40,33730249320.98018,133.3737,54.43254232854756,4.0151649706585897e+40
127.59805,4.7905282,0.1014379,9.076338627567222e+40,38981818247.74718,134.6758,1082.1377274667987,9.076338627567222e+40
127.60105,4.687451,0.1285994,1.5110690660166108e+41,335334614060.5112,181.212,1081.9179022479025,1.5110690660166108e+41
127.60733,5.6241356,0.1069179,1.0156518217321147e+41,31439435952.43731,107.5297,1497.4788991103921,1.0156518217321147e+41
127.60991,5.2459117,0.06449014,3.4890907117103464e+40,71602354182.87894,134.2032,986.0456039451544,3.4890907117103464e+40
127.61252,4.363807,0.07557021,4.8649902076836e+40,111306050424.15948,110.3093,209.80362311394885,4.8649902076836e+40
127.61445,4.7183218,0.1266648,1.4623394077722728e+41,234466042252.5009,135.6573,1027.9271629880461,1.4623394077722728e+41
127.6148,5.8502622,0.1039939,9.571734787447748e+40,66694322446.25302,138.2386,1661.1487930807127,9.571734787447748e+40
127.61534,5.5242483,0.1069253,1.015802276509591e+41,221523179344.20404,194.6105,1361.949252854122,1.015802276509591e+41
127.62463,0.15976793,0.09490346,7.875992057740056e+40,223133848.93779933,6.902977,149.2033435916213,7.875992057740056e+40
127.62507,2.1634052,0.1205658,1.314594109298219e+41,302733195865.601,164.0668,67.3204247174109,1.314594109298219e+41
127.63046,4.2378775,0.06510928,3.559476344209355e+40,51021065770.1665,97.63705,475.59883187365153,3.559476344209355e+40
127.63158,5.6971524,0.1063086,1.003306394927012e+41,40757006881.55323,138.3155,1427.0626713057507,1.003306394927012e+41
127.63204,5.0038441,0.04161078,1.4062124760936984e+40,6756517871.917231,33.08116,750.7319249013161,1.4062124760936984e+40
127.64637,4.1286127,0.1012315,9.036973793178976e+40,151993643751.11588,211.7785,213.79766142948552,9.036973793178976e+40
