RA,DEC,Z,sSFR_0_1Gyr_best_fit,sSFR_0_1Gyr_percentile16,sSFR_0_1Gyr_percentile50,sSFR_0_1Gyr_percentile84,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84
135.4856781,-0.3852676,0.054,0.0000000002401,-9.675,-9.625,-9.475,1744000000,9.237,9.267,9.367
135.6721124,-0.2182267,0.06,0.0000000003525,-9.675,-9.475,-9.325,997200000,8.887,8.972,9.077
135.8042879,-0.3929554,0.0559,0.0000000002709,-10.02,-9.875,-9.625,1348000000,9.177,9.282,9.392
136.1401681,-0.3147022,0.0275,0.0000000003118,-10.12,-9.925,-9.825,532500000,8.697,8.762,8.817
136.8827538,-0.4103183,0.0706,0.000000000722,-9.275,-9.125,-9.025,1597000000,9.132,9.202,9.277
136.8100497,-0.2965237,0.0397,0.0000000002289,-9.775,-9.525,-9.375,534500000,8.562,8.667,8.757
136.9757517,-0.2313812,0.0556,0.0000000002731,-9.975,-9.825,-9.575,619000000,8.737,8.817,8.937
137.6054615,-0.2178545,0.0189,0.0000000003897,-9.575,-9.425,-9.325,88950000,7.857,7.947,8.042
137.8508615,-0.2393904,0.0703,0.0000000000404,-10.37,-10.37,-10.02,2492000000,9.337,9.392,9.517
138.6979299,-0.3560401,0.0558,0.0000000002818,-10.82,-9.725,-9.475,1041000000,8.917,9.032,9.082
138.8553357,-0.3018776,0.0285,0.0000000001863,-9.725,-9.375,-9.025,175200000,7.747,7.992,8.212
138.8871577,-0.3856582,0.088,0.000000000202,-10.22,-9.875,-9.675,1293000000,9.257,9.367,9.462
139.0145106,-0.2907272,0.0877,0.0000000001682,-10.02,-9.875,-9.725,2321000000,9.362,9.447,9.552
139.2641684,-0.2980837,0.0167,0.0000000006687,-9.275,-9.175,-8.975,28020000,7.362,7.432,7.487
139.4562101,-0.2804154,0.0179,0.000000000009729,-11.47,-10.62,-10.07,735000000,8.517,8.722,8.892
139.6862403,-0.2145345,0.0538,0.00000000002451,-10.62,-10.47,-10.32,1977000000,9.177,9.287,9.382
139.692851523,-0.22138624,0.0547,0.00000000000002949,-12.47,-11.82,-11.37,2094000000,9.102,9.202,9.282
139.7670253,-0.2243159,0.055,0.000000000005374,-11.97,-11.47,-11.02,1865000000,9.157,9.282,9.357
139.8843518,-0.4100299,0.0387,0.0000000002811,-10.07,-9.775,-9.575,1044000000,9.057,9.062,9.162
139.7867411,-0.3712881,0.0387,0.0000000001762,-10.22,-10.02,-9.725,343500000,8.542,8.692,8.837
139.9233884,-0.2103912,0.0561,0.0000000001673,-9.875,-9.725,-9.625,2195000000,9.217,9.292,9.422
139.9705338,-0.242572,0.0563,0.0000000003831,-9.525,-9.425,-9.375,2724000000,9.427,9.452,9.547
140.2838837,-0.2310503,0.061,0.0000000004364,-9.775,-9.525,-9.175,1614000000,9.092,9.282,9.447
140.427955,-0.3243882,0.0528,0.0000000001611,-10.27,-10.07,-9.875,578200000,8.777,8.862,9.007
140.6197741,-0.3769846,0.0542,0.0000000002439,-9.975,-9.775,-9.625,747200000,8.927,9.007,9.107
140.6863999,-0.3145901,0.0543,0.000000000209,-10.32,-9.825,-9.575,2054000000,9.217,9.347,9.477
140.7002048,-0.310627,0.0579,0.000000000002642,-12.17,-11.57,-11.22,2299000000,9.332,9.412,9.512
140.7407036,-0.3932264,0.0516,0.0000000001046,-10.22,-10.02,-9.825,909300000,8.822,8.957,9.062
140.7464489,-0.4021563,0.0561,0.00000000004833,-11.27,-10.32,-10.12,643900000,8.767,8.827,8.992
140.749818,-0.3601896,0.0546,0.0000000003185,-9.625,-9.425,-9.325,502300000,8.672,8.717,8.762
140.7446742,-0.2624869,0.0572,0.00000000052,-9.825,-9.575,-9.425,862900000,8.957,9.052,9.172
140.8431235,-0.2258083,0.0549,0.00000000003344,-11.42,-10.87,-10.57,994600000,9.007,9.097,9.222
140.836869,-0.4069463,0.0522,0.0000000002187,-10.07,-9.875,-9.675,745900000,8.637,8.802,8.917
129.0285499,0.0127362,0.0581,0.0000000005516,-9.625,-9.425,-9.325,1558000000,9.172,9.207,9.277
129.5007913,0.0981383,0.0835,0.0000000003932,-9.525,-9.425,-9.275,1550000000,9.117,9.167,9.207
129.6447327,0.0407992,0.0776,0.00000000007135,-10.17,-9.725,-9.225,2101000000,8.617,9.052,9.357
129.7151893,0.0591012,0.0246,0.0000000003535,-10.17,-9.725,-9.475,185000000,8.222,8.282,8.332
129.7595739,0.0902486,0.0499,0.000000000004559,-12.32,-11.32,-11.32,1123000000,9.047,9.062,9.112
129.8282983,0.1980164,0.0784,0.0000000001298,-9.925,-9.825,-9.625,2581000000,9.252,9.337,9.417
130.1623769,0.0967002,0.0612,0.0000000005402,-9.625,-9.425,-9.325,406500000,8.517,8.607,8.707
130.1665388,0.1501501,0.0245,0.0000000005125,-9.475,-9.275,-9.225,131700000,8.067,8.117,8.207
130.5895431,0.0859222,0.0765,0.0000000006505,-9.325,-9.175,-9.075,2690000000,9.337,9.392,9.467
130.7545533,0.16932554,0.0293,0.0000000001016,-10.12,-9.975,-9.775,1520000000,9.052,9.132,9.222
130.7340453,0.0159529,0.0102,0.00000000157,-9.275,-9.175,-8.925,10030000,6.962,7.027,7.122
130.7974785,0.0973068,0.0784,0.0000000006346,-9.575,-9.425,-9.275,990300000,8.942,9.037,9.117
130.8310948,0.2059694,0.0505,0.0000000002561,-9.775,-9.625,-9.475,612900000,8.742,8.802,8.932
131.0362255,0.1698922,0.0778,0.0000000003534,-9.575,-9.475,-9.375,2018000000,9.277,9.322,9.382
131.6441529,0.0153862,0.0994,0.0000000002053,-9.975,-9.775,-9.625,2793000000,9.422,9.522,9.622
131.7649653,0.1669827,0.0132,0.0000000003037,-9.825,-9.625,-9.475,23890000,7.367,7.442,7.552
132.0245038,0.1997936,0.0393,0.000000000824,-9.525,-9.275,-9.075,300100000,8.152,8.252,8.472
132.2681487,0.1879167,0.0515,0.0000000002553,-9.975,-9.725,-9.575,468900000,8.587,8.687,8.767
132.2712025,0.0622787,0.0427,0.0000000004071,-9.725,-9.475,-9.325,403200000,8.477,8.527,8.652
132.346299,0.1929879,0.0531,0.0000000003633,-9.675,-9.525,-9.375,1422000000,8.957,9.042,9.132
132.3637367,0.0707111,0.0528,0.0000000004455,-10.72,-9.325,-9.175,456200000,8.477,8.567,8.727
132.5756236,0.0593543,0.0368,0.0000000001573,-9.925,-9.775,-9.525,2668000000,9.227,9.357,9.427
132.6436034,0.020881,0.0766,0.0000000004301,-9.575,-9.475,-9.325,1488000000,9.092,9.162,9.277
132.8106252,0.1869358,0.0251,0.0000000003497,-9.475,-9.325,-9.025,240400000,8.267,8.337,8.392
132.8536117,0.0246103,0.0529,0.0000000004598,-10.27,-9.525,-9.225,1220000000,9.007,9.077,9.192
