RA,DEC,Z,logmstar,dellogmstar
129.6540699,-0.2723827,0.13468,10.1034,0.102317
129.7372678,-0.3556766,0.05195,10.0537,0.126404
129.7403952,-0.4193914,0.08017,9.49181,0.109836
129.8083368,-0.3553597,0.05209,9.85636,0.126376
129.8773624,-0.2279809,0.05116,9.53392,0.127389
129.9042786,-0.26274,0.04972,9.09849,0.158042
129.9293298,-0.3369835,0.05228,10.5459,0.110687
130.0034177,-0.269804,0.08546,9.56906,0.140247
129.8869454,-0.3591464,0.14595,11.1054,0.117455
129.9306637,-0.3424127,0.05254,9.104,0.113297
129.9712233,-0.384109,0.14493,10.8961,0.109601
129.9702508,-0.3851467,0.14472,10.6523,0.19889
129.9770715,-0.2433203,0.07484,8.92789,0.0969464
130.0007071,-0.3156965,0.07698,10.2368,0.130527
130.0068707,-0.2600871,0.07706,9.82267,0.116293
129.8862686,-0.3856908,0.13585,9.86956,0.117227
130.1443929,-0.2295101,0.12909,10.7456,0.139437
130.1660233,-0.4132025,0.05758,9.90952,0.133049
130.2541752,-0.2924515,0.14684,10.458,0.120193
130.2789868,-0.2777065,0.14694,10.4025,0.108253
130.3801099,-0.2230009,0.12797,11.292,0.102754
130.3408527,-0.378485,0.14703,10.3421,0.113329
130.3967729,-0.2543262,0.12739,10.7969,0.0941799
130.6177432,-0.2715965,0.05141,10.419,0.119047
130.617171,-0.2835336,0.05133,9.77012,0.125248
130.6527154,-0.2309613,0.04989,10.5753,0.118915
130.7185232,-0.3201903,0.13578,10.4338,0.117457
130.6276932,-0.2728498,0.05121,8.77447,0.117239
130.8554585,-0.2949507,0.12803,10.1637,0.0912479
130.8652026,-0.3423905,0.13992,10.4649,0.131217
130.9334358,-0.2121678,0.04998,10.6786,0.112513
131.1385225,-0.3632719,0.11572,10.6182,0.13556
131.2168922,-0.4110275,0.10568,10.2212,0.122179
131.2825261,-0.2782199,0.13663,10.5294,0.100432
131.3578275,-0.4122815,0.10155,10.528,0.095813
131.4719328,-0.262589,0.10514,10.1496,0.111095
131.4747193,-0.3360346,0.09177,10.1271,0.114496
131.59538,-0.3716859,0.07734,10.0812,0.13181
131.7974354,-0.3452501,0.12742,9.94626,0.126049
131.8160784,-0.3352593,0.13579,10.4971,0.103602
131.94638833,-0.21530489,0.00027,2.92844,0.213591
131.8965318,-0.2597915,0.12713,9.75061,0.108507
131.9486898,-0.380943,0.05084,10.5781,0.119263
131.9604006,-0.2123793,0.00015,2.61159,0.119819
131.8525256,-0.2497416,0.13627,9.84527,0.137225
131.9933387,-0.4040299,0.07754,9.21191,0.116698
132.0554031,-0.3963204,0.10243,10.6639,0.111958
132.1223735,-0.3020296,0.04059,8.7956,0.123597
132.1822559,-0.2463294,0.07533,9.16903,0.120175
132.2003703,-0.3685009,0.14522,10.106,0.118229
132.2565484,-0.3491911,0.01473,8.25775,0.196329
132.3179354,-0.2218442,0.04718,9.06283,0.145447
132.4721751,-0.3149737,0.13557,10.4511,0.0992284
132.6359906,-0.2528361,0.06978,10.9582,0.116451
132.6843334,-0.3616068,0.09274,9.03087,0.127429
132.6851405,-0.3658815,0.09258,9.59517,0.133103
132.702488,-0.2154982,0.05271,9.37195,0.133907
132.6463966,-0.2471692,0.10829,9.15512,0.12673
132.7523972,-0.2496496,0.13266,10.477,0.102707
132.7433569,-0.228877,0.08695,10.9645,0.112053
132.7911375,-0.3816227,0.07218,9.35961,0.135058
132.8401701,-0.3950839,0.04286,9.29729,0.148487
132.8589599,-0.4057281,0.13291,10.6993,0.126368
132.8677523,-0.3048886,0.07434,9.79132,0.133512
132.8829423,-0.2746879,0.12976,10.0754,0.115216
132.9200935,-0.2702918,0.10048,9.75165,0.155351
133.0431523,-0.280386,0.10894,10.8477,0.104593
133.0852241,-0.2776861,0.10879,10.9536,0.0975536
133.0854078,-0.2561653,0.10809,10.3545,0.108921
133.0946199,-0.263685,0.13296,10.6274,0.101124
133.0974452,-0.2778163,0.10705,10.6619,0.110149
133.1312585,-0.218216,0.10856,9.7468,0.115201
133.1415991,-0.3467204,0.13304,10.3333,0.10061
133.1413393,-0.2743169,0.10729,10.3415,0.124731
133.1924468,-0.2340337,0.07366,9.42903,0.127382
133.275079,-0.2307762,0.10591,10.703,0.101952
133.2446198,-0.2557945,0.12481,10.1409,0.124747
133.2856551,-0.391124,0.10882,9.64024,0.146807
133.4072016,-0.2567904,0.10778,10.4447,0.160475
133.5880603,-0.4092586,0.05696,9.16078,0.129232
133.4825921,-0.3205352,0.07337,9.02231,0.147347
133.6240968,-0.2112412,0.14015,10.8721,0.116095
133.7184412,-0.2635454,0.05041,8.66375,0.087028
133.6809722,-0.3849232,0.08733,9.19995,0.127828
133.8596581,-0.4014983,0.10651,10.2191,0.120528
133.8625837,-0.270257,0.1073,10.4441,0.122087
133.8829938,-0.2208175,0.1071,10.6875,0.102788
134.0209826,-0.410229,0.11001,10.1232,0.127916
133.9872892,-0.2539343,0.12066,10.7474,0.107148
134.0130396,-0.3917371,0.10712,10.4224,0.0999927
134.019021,-0.3210885,0.09096,9.34845,0.122292
134.021451,-0.3926818,0.11034,10.276,0.106382
134.0255249,-0.3991871,0.1102,9.96175,0.131423
134.0899298,-0.2652573,0.12852,10.3654,0.290161
134.2441929,-0.3423803,0.1014,10.0955,0.103634
134.3033976,-0.2866901,0.01114,7.65774,0.190453
134.4386335,-0.3566423,0.02826,8.96079,0.123692
134.4767152,-0.3202705,0.11693,9.7431,0.108739
134.498662,-0.4102905,0.0111,7.81898,0.121684
134.5574709,-0.2918963,0.10396,10.428,0.103848
134.5858471,-0.3961704,0.07063,10.6943,0.106139
134.7901036,-0.272115,0.04185,9.15577,0.12373
134.9301292,-0.3567501,0.12091,9.49706,0.126845
134.9505134,-0.3630131,0.12101,11.0454,0.144382
135.0303306,-0.2817127,0.05409,8.69683,0.125726
135.0284483,-0.2829101,0.05483,8.80486,0.13185
135.0461501,-0.3018677,0.04187,9.42764,0.173943
135.113139,-0.4020729,0.00019,3.41928,0.0914301
135.2370197,-0.2756148,0.05288,9.62438,0.121658
135.1506536,-0.2119006,0.10316,9.88431,0.218846
135.2169327,-0.2178073,0.13429,9.90538,0.114016
135.3639894,-0.4183682,0.0529,10.9635,0.111832
