ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
254,130.53878949999998,2.8951535,95050000,3.995e-10,0.0248
255,130.8423556,2.8489154,2069000000,4.581e-10,0.0778
256,131.25929129999997,2.8699066,2818000000,5.449e-11,0.0598
257,131.65453839999998,2.8270459,439900000,7.744e-11,0.0132
258,131.82883339999998,2.8829816,2073000000,8.562e-10,0.0983
259,132.6813948,2.9278241,210500000,3.556e-10,0.0279
26,136.8827538,-0.4103183,1597000000,7.22e-10,0.0706
260,133.62045149999997,2.9340433000000004,1381000000,6.479e-11,0.0584
261,138.68367849999996,-0.8602095,1417000000,6.668e-10,0.0548
262,132.51695759999998,-0.1698133,1431000000,2.864e-10,0.0409
263,132.8546012,-0.0125136,2133000000,1.166e-09,0.1156
264,129.29907659999998,-0.5877612,2033000000,2.956e-10,0.0798
265,130.03092099999998,-0.6275457,1979000000,7.867e-10,0.0772
266,130.43180519999999,-0.5766247999999999,1722000000,6.968e-11,0.0571
267,130.6595247,-0.5764465,394700000,1.247e-10,0.0308
268,130.6826918,-0.4824492,2990000000,1.374e-10,0.0527
269,132.5650277,-0.4767811,329300000,5.692e-10,0.0414
27,138.69792989999996,-0.35604009999999997,1041000000,2.818e-10,0.0558
270,135.1944298,-0.5656462,1607000000,2.831e-10,0.0402
271,136.3404248,-0.4792554,226100000,5.979e-10,0.0278
272,136.66499149999999,-0.42124280000000003,2107000000,4.581e-10,0.0703
273,136.8111516,-0.5539918,706600000,7.757e-09,0.1229
274,136.8504284,-0.5228063000000001,2947000000,7.792e-13,0.0946
275,137.1662414,-0.4288111,786100000,6.144e-10,0.0542
276,137.17987349999999,-0.42886050000000003,516900000,4.076e-10,0.0517
277,138.07325989999998,-0.6018009,973100000,1.097e-09,0.0702
278,138.59373879999998,-0.5209113000000001,2822000000,1.82e-10,0.1034
279,138.69950267999997,-0.59500672,326600000,2.446e-09,0.0545
28,138.85533569999998,-0.30187759999999997,175200000,1.863e-10,0.0285
280,139.97990019999997,-0.5913342,1144000000,5.169e-10,0.0288
281,139.98924189999997,-0.59429,2034000000,1.8e-10,0.0878
282,129.10030519999998,-0.1593804,962300000,3.24e-10,0.0519
283,129.27945039999997,-0.0656993,470400000,8.177e-10,0.0414
284,129.2940563,-0.1043434,2140000000,8.81e-11,0.0379
285,129.85879709999998,-0.19697589999999998,2762000000,8.577e-11,0.0512
286,131.02178429999995,-0.0639178,1778000000,3.835e-10,0.078
287,131.2650282,-0.140983,2281000000,1.97e-10,0.1016
288,134.43441909999996,-0.044869,340300000,6.953e-10,0.0437
289,135.6382194,-0.1331521,1045000000,1.783e-10,0.0598
29,138.8871577,-0.3856582,1293000000,2.02e-10,0.088
290,135.5801397,-0.06367640000000001,678200000,3.897e-10,0.0536
291,136.7375229,-0.12353070000000001,1214000000,3.194e-10,0.0188
292,136.90989489999998,-0.17990019999999998,960500000,4.08e-10,0.054
293,136.94548519999998,-0.1045404,1288000000,5.043e-10,0.1012
294,137.8267153,-0.1066407,240300000,2.248e-09,0.0706
295,137.8253355,-0.10584260000000001,1125000000,1.107e-09,0.0707
296,138.4589246,-0.0797578,1052000000,2.114e-10,0.0539
297,140.2449644,-0.1258964,956900000,9.404e-10,0.0871
298,140.7082926,-0.1507898,223500000,1.074e-10,0.0208
299,130.02769159999997,0.3456764,596000000,2.142e-10,0.0517
3,130.7896571,-0.6389663,2225000000,2.73e-10,0.1092
30,139.2641684,-0.2980837,28020000,6.687e-10,0.0167
300,132.64242149999998,0.214502,2826000000,1.021e-11,0.0414
301,132.68536329999998,0.3214092,669700000,2.838e-10,0.0535
302,132.74011779999998,0.2389151,639200000,2.289e-10,0.0412
303,133.1130519,0.41057514,2799000000,4.044e-10,0.1084
304,133.47373649999997,0.3041809,726100000,4.149e-10,0.0283
305,133.7911787,0.4114411,639000000,4.95e-10,0.0526
306,133.88598949999997,0.3170729,1463000000,4.742e-10,0.0876
307,134.16946306,0.37500486,1308000000,2.449e-10,0.0084
308,134.99046919999998,0.2587934,1610000000,5.185e-10,0.0886
309,135.51806969999998,0.39898930000000005,723800000,5.699e-10,0.0565
31,139.4562101,-0.2804154,735000000,9.729e-12,0.0179
310,136.2411771,0.35531569999999996,279100000,9.357e-09,0.1016
311,137.3879581,0.3280334,1481000000,3.549e-10,0.0688
312,137.4077395,0.3153139,859100000,1.846e-10,0.07
313,138.08619339999996,0.30268459999999997,1999000000,1.042e-10,0.0536
314,138.3420923,0.2675784,2955000000,2.093e-11,0.0528
315,138.61010899999997,0.379604,603800000,7.478e-10,0.0668
316,138.59271329999996,0.30417679999999997,918700000,4.345e-10,0.0696
317,139.0215493,0.32693479999999997,2218000000,2.053e-10,0.092
318,139.2144583,0.2351759,2865000000,5.98e-11,0.0568
319,139.37794019999998,0.38739450000000003,1329000000,2.765e-10,0.0562
32,139.692851523,-0.22138624,2094000000,2.94e-14,0.0547
320,139.98488439999997,0.2392632,1843000000,3.086e-10,0.0876
321,140.34265499999998,0.254653,1134000000,4.711e-10,0.0866
