ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
158,140.21728829999998,-1.3722171,291700000,6.414e-10,0.0298
159,140.2579122,-1.0347942,2618000000,1.426e-10,0.0696
16,129.71518929999996,0.059101200000000007,185000000,3.535e-10,0.0246
160,140.42278409999997,-1.0749355999999999,1066000000,6.567e-10,0.0712
161,139.4285844,0.0170038,2415000,9.605e-12,0.001
162,130.57202929999997,-0.18131329999999998,378000,4.548e-12,0.0011
163,131.3689698,2.0666271,334400000,3.893e-10,0.0514
164,133.5391995,2.2237632,29550000,2.244e-10,0.0055
165,133.91628179999998,2.5947113,149800000,5.262e-10,0.0198
166,131.18796442999997,-1.98961147,784000000,1.648e-10,0.0492
167,131.80721559999998,-1.5315917,2523000000,2.664e-10,0.0912
168,134.4452681,-1.6824077999999998,1927000000,7.863e-10,0.1044
169,136.14296759999996,-1.6727606,353100000,5.184e-10,0.0459
17,130.7340453,0.0159529,10030000,1.57e-09,0.0102
170,138.50155769999998,-1.8601031000000001,531900000,3.778e-11,0.0174
171,138.94329279999997,-1.8592502000000002,2021000000,4.873e-12,0.1086
172,139.8218446,-1.8700556,1986000000,1.866e-10,0.0968
173,139.82193099999998,-1.9067002,2456000000,1.967e-13,0.0253
174,131.4053762,-1.0922496,404400000,5.01e-10,0.0395
175,131.56738900000002,-1.1412345,1353000000,4.961e-10,0.0943
176,139.5454341,-1.4572694,2239000000,3.129e-11,0.0553
177,139.85141960299998,-1.50020967,1831000000,1.386e-10,0.071
178,134.35434109999997,-0.8053639,255300000,4.247e-09,0.0702
179,135.805224,-0.8171317,870200000,2.183e-10,0.0475
18,132.346299,0.1929879,1422000000,3.633e-10,0.0531
180,135.80859569999998,-0.9400057,1534000000,1.587e-10,0.0929
181,129.66720699999996,-1.8061293,1121000000,1.168e-10,0.0522
182,130.837170222,-1.80449919,1790000000,1.812e-09,0.1366
183,131.1716622,-1.7489787,1007000000,1.03e-10,0.0484
184,131.15428009999997,-1.7604968,503700000,8.576e-10,0.048
185,132.1609067,-1.7824259999999998,2504000000,6.286e-10,0.0912
186,134.15274949999997,-1.8652321,322300000,3.154e-10,0.048
187,135.3195011,-1.9592523,270600000,1.385e-09,0.0487
188,135.5733929,-1.9534185,1361000000,9.151e-10,0.1123
189,135.71893219999998,-1.9643882,103300000,3.107e-10,0.0192
19,132.3637367,0.0707111,456200000,4.455e-10,0.0528
190,135.6613329,-1.9139678,2719000000,1.864e-10,0.0487
191,137.19871669999998,-1.9728442000000002,493600000,1.498e-10,0.0402
192,137.24617999999998,-1.943619,554400000,1.157e-09,0.0278
193,139.95642159999997,-1.9915547,1014000000,3.057e-10,0.0724
194,132.53099079999998,-1.376444,2452000000,5.01e-10,0.0866
195,135.72345399999998,-1.4907304000000001,1423000000,3.194e-10,0.0283
196,138.68631929999998,-1.5351724,1050000000,1.923e-10,0.0608
197,138.89486859999997,-1.5559291,919400000,6.545e-10,0.0555
198,139.5818023,-1.5853952000000002,654100000,2.152e-10,0.0552
199,133.0704969,-0.9305724999999999,790600000,4.399e-10,0.0718
2,137.3497789,-0.6391498,961900000,2.616e-10,0.0393
20,133.2097597,0.1578626,545700000,1.802e-10,0.0257
200,135.8703513,-1.0624665,714600000,1.076e-09,0.0769
201,137.43267719999997,-1.1231118,2855000000,1.138e-10,0.0705
202,139.0021374,-1.2816002,993000000,4.009e-10,0.076
203,138.20611849999997,-0.0668815,220100000,8.335e-11,0.0133
21,134.07888989999998,0.0132203,1369000000,2.342e-10,0.0875
22,134.09079799999998,0.0072528,2701000000,4.659e-10,0.1099
23,134.6848174,0.1979367,616100000,6.414e-10,0.071
24,134.96459579999996,0.0223785,1843000000,1.69e-10,0.0529
