ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
23,133.1450743,0.1075377,680500000,7.139e-10,0.0662
230,136.00093699999996,-0.4918139,543600000,2.498e-10,0.0537
231,136.09659099999996,-0.4993979,1916000000,3.835e-10,0.1017
232,136.7742266,-0.5405419,1174000000,1.237e-10,0.0274
233,137.3001851,-0.5466792,1140000000,2.758e-10,0.0943
234,137.52522609999997,-0.5859920000000001,961600000,4.084e-10,0.0701
235,138.55671879999997,-0.446543,2778000000,3.475e-10,0.053
236,139.272485,-0.4805454,208600000,1.093e-09,0.0474
237,139.6845584,-0.4363246,1330000000,7.672e-11,0.0564
238,139.82988819999997,-0.4445139,1776000000,2.216e-10,0.0552
239,140.71986282999998,-0.48913046,218400000,6.372e-10,0.0572
24,134.11257139999998,0.19398469999999998,1219000000,1.837e-10,0.057
240,140.83202839999998,-0.5287434000000001,35110000,1.352e-09,0.0206
241,140.94174639999997,-0.4871583,1274000000,3.343e-11,0.0536
242,140.9725667,-0.498738,542800000,1.519e-09,0.0545
243,140.97882819999998,-0.4492719,183600000,4.918e-10,0.0245
244,134.1445726,-0.075539,2759000000,6.891e-10,0.1107
245,134.44862589999997,-0.15455729999999998,766600000,6.155e-11,0.0282
246,130.4861665,-0.0600653,89280000,4.005e-10,0.0102
247,130.92550939999998,-0.055253500000000004,341200000,1.912e-09,0.0517
248,131.49481219999998,-0.0283373,1011000000,1.192e-09,0.0777
249,134.5234166,-0.0212253,2044000000,3.21e-10,0.0286
25,134.36890979999998,0.167632,451100000,2.536e-10,0.0437
250,136.1952141,-0.1294475,1724000000,1.288e-09,0.1019
251,136.750005,-0.047619,26000000,2.903e-09,0.0185
252,136.81975889999998,-0.1944542,1215000000,5.185e-10,0.0545
253,136.8544565,-0.1764818,2300000000,1.641e-10,0.0762
254,139.12323679999997,-0.0317896,379600000,9.984e-10,0.0556
255,139.55926449999998,-0.1967215,1863000000,4.538e-10,0.057
256,131.5762745,0.38277429999999996,709500000,4.576e-10,0.0728
257,132.1510797,0.2589041,2579000000,4.395e-12,0.0519
258,133.36670329999998,0.4012558,2682000000,2.911e-10,0.1076
259,133.53363,0.37344279999999996,2790000000,3.873e-10,0.1097
26,135.1088486,0.005718699999999999,315600000,4.303e-10,0.0525
260,134.6638673,0.2717491,1320000000,4.303e-10,0.0709
261,135.76425519999998,0.40710430000000003,1284000000,6.364e-10,0.0532
262,137.21189739999997,0.26835359999999997,2124000000,1.199e-09,0.078
263,137.2932406,0.2169338,1862000000,2.958e-10,0.0874
264,137.20176139999998,0.2634974,745800000,1.596e-09,0.0778
265,138.70982649999996,0.2224163,1457000000,6.652e-11,0.0575
266,140.76740349999997,0.3279896,947400000,6.26e-10,0.0562
267,140.82568579999997,0.30360529999999997,1442000000,4.885e-11,0.0565
